,inci,title,peh_class
0,"['Water (Aqua/Eau)', 'Polyquaternium-37', 'Cyclopentasiloxane', 'Cetearyl Alcohol', 'VP/Dimethylaminoethylmethacrylate Copolymer', 'Polyquaternium-11', 'Propylene Glycol Dicaprylate/Dicaprate', 'Fragrance (Parfum)', 'Phenoxyethanol', 'Citronellol', 'Amyl Cinnamal', 'Helianthus Annuus (Sunflower) Seed Extract', 'Tocopherol', 'Linalool', 'C12-15 Alkyl Benzoate', 'Sorbitan Oleate', 'Panthenol', 'Citral', 'Helianthus Annuus (Sunflower) Seed Oil', 'Bacopa Monniera Extract', 'Butylphenyl\xa0Methylpropional', 'Simmondsia Chinensis (Jojoba) Seed Oil', 'PPG-1 Trideceth-6', 'PEG-4', 'Limonene', 'Hydroxycitronellal', 'Disodium Edta', 'VP/DMAPA Acrylates Copolymer', 'PEG-4 Laurate', 'Glycerin', 'Geraniol', 'Benzyl salicylate', 'iodopropynyl butylcarbamate', 'Chitosan', 'Hexyl Cinnamal', 'Polysorbate-60', 'Alcohol Denat.', 'Benzalkonium Chloride', 'Citric Acid', 'Butylene Glycol', 'PEG-4 Dilaurate']",Tigi Catwalk Curls Rock Amplifier – krem stylizujący do włosów kręconych,E
1,"['Aqua', 'Cetearyl Alcohol', 'Myristyl Alcohol', 'Cetrimonium Chloride', 'Amodimethicone', 'Dimethicone', 'Cocos Nucifera (Coconut) Oil', 'Wheat Amino Acids', 'Soy Amino Acids', 'Arginine Hcl', 'Serine', 'Threonine', 'Trideceth-10', 'Polyquaternium-37', 'Lactic Acid', 'Parfum', 'Sodium Benzoate', 'Benzyl Alcohol', 'Potassium Sorbate', 'Phenoxyethanol', 'Linalool']",DR. SANTE COCONUT HAIR Z OLEJEM KOKOSOWYM – maska emolientowa do włosów suchych i łamliwych,E
2,['Helianthus Annuus (Sunflower) Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ SŁONECZNIKOWY – do włosów wysokoporowatych i średnioporowatych,E
3,['Argania Spinosa (Argan) Kernel Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ ARGANOWY BIO – do włosów wysokoporowatych,E
4,"['Aqua', 'Cetearyl Alcohol', 'Butyrospermum Parkii (Shea) Butter', 'Cucurbita Pepo (Pumpkin) Seed Oil', 'Behentrimonium Chloride', 'Brassica Oleracea Italica Seed Oil', 'Papaver Somniferum Seed Oil', 'Carthamus Tinctorius Seed Oil', 'Raphanus Sativus Seed Oil', 'Cetrimonium Chloride', 'Starch Hydroxypropyltrimonium Chloride', 'Phenoxyethanol', 'Benzoic Acid', 'Dehydroacetic Acid', 'Parfum', 'Citronallol', 'Geraniol', 'Linalool']",ANWEN Emolientowa Róża – odżywka do włosów o wysokiej porowatości,E
5,['Cannabis Sativa (Hemp) Seed Oil'],"Your Natural Side – nierafinowany, lekki olej konopny, do włosów wysokoporowatych",E
6,['Orbignya Oleifera (Babassu) Seed Oil'],MOHANI MASŁO BABASSU – do włosów niskoporowatych,E
7,"['Aqua', 'Cetyl Alcohol', 'Stearyl Alcohol', 'Cetrimonium Chloride', 'PVP/VA copolymer', 'Phenoxyethanol', 'Polyquaternium-10', 'Parfum', 'Benzophenone-3', 'Citric Acid', 'Sodium Hydroxide', 'Linalool', 'Butylphenyl\xa0Methylpropional', 'Hydroxycitronellal', 'Sodium acetate', 'Sodium Chloride', 'Citronellol', 'Isopropyl alcohol', 'CI 14700']",BOOTS ESSENTIALS CURL CREME – krem do stylizacji,E
8,['Melia Azadirachta (Neem) Seed Oil'],PHITOFILOS OLIO DI NEEM – tłoczony na zimno olej neem do włosów wysokoporowatych,E
9,['Cocos Nucifera (Coconut) Oil'],ETJA ZIMNOTŁOCZONY OLEJ Z MIĄŻSZU KOKOSA – do włosów niskoporowatych,E
