,inci,title,peh_class
0,"['\xa0Aqua [Water]', 'Cetyl alcohol', 'Behenamidopropyl dimethylamine', 'Butyrospermum parkii (Shea butter) butter', 'Sesamum indicum (Sesame) seed oil (*)', 'Citrus aurantium dulcis (Orange) peel oil (*)', 'Citrus limon (Lemon) peel oil (*)', 'Citrus aurantium dulcis (Orange) flower extract (*)', 'Calendula officinalis flower extract (*)', 'Chamomilla recutita (Matricaria) flower extract (*)', 'Citrus limon (Lemon) peel extract (*)', 'Soy amino acids', 'Wheat amino acids', 'Arginine HCl', 'Serine', 'Threonine', 'Lactic acid', 'Sorbitol', 'Benzyl alcohol', 'Limonene', 'Sodium benzoate', 'Sodium dehydroacetate', 'Glycerin', 'Xanthan gum* z kontrolowanych upraw ekologicznych']","ALKEMILLA Balsamo Arancio e Limone Odżywka do włosów suchych, cienkich i farbowanych 250ml",E
1,"['\xa0Aqua [Water]', 'Cetyl alcohol', 'Behenamidopropyl dimethylamine', 'Butyrospermum parkii (Shea butter) butter', 'Helianthus annuus (Sunflower) seed oil (*)', 'Citrus medica vulgaris peel oil', 'Foeniculum vulgare (Fennel) oil', 'Aloe barbadensis leaf extract (*)', 'Malva sylvestris (Mallow) flower/leaf extract (*)', 'Foeniculum vulgare (Fennel) fruit extract (*)', 'Althaea officinalis root extract (*)', 'Fructose', 'Glycine', 'Inositol', 'Niacinamide', 'Urea', 'Sodium lactate', 'Sodium PCA', 'Lactic acid', 'Sorbitol', 'Benzyl alcohol', 'Sodium benzoate', 'Sodium dehydroacetate', 'Limonene', 'Glycerin', 'Xanthan gum', 'Linalool', 'Citral* z kontrolowanych upraw ekologicznych']",ALKEMILLA Balsamo Cedro e Finocchio Odżywka do włosów słabych i zniszczonych 250ml,E
2,"[' Aqua [Water]', ' Cetyl alcohol', ' Behenamidopropyl dimethylamine', ' Butyrospermum parkii (Shea butter) butter (*)', ' Olea europaea (Olive) fruit oil (*)', ' Lavandula hybrida oil (*)', ' Eucalyptus globulus leaf oil (*)', ' Equisetum arvense leaf extract (*)', ' Eucalyptus globulus leaf extract (*)', ' Lavandula angustifolia (Lavender) extract (*)', ' Urtica dioica (Nettle) extract (*)', ' Lactic acid', ' Sorbitol', ' Benzyl alcohol', ' Sodium benzoate', ' Sodium dehydroacetate', ' Glycerin', ' Linalool', ' Limonene', ' Xanthan gum.* z kontrolowanych upraw ekologicznych']",ALKEMILLA Balsamo Lavendo e Eucalipto Odżywka do włosów normalnych i przetłuszczających się 250ml,E
3,"['\xa0Aqua [Water] (Eau)', ' Cetyl alcohol', ' Stearyl alcohol', ' Passiflora incarnata flower extract (*)', ' Citrus aurantium dulcis (Orange) flower extract (*)', ' Citrus limon (Lemon) peel extract (*)', ' Morus nigra fruit extract', ' Vaccinium myrtillus (Myrtle) fruit extract (*)', ' Tocopherol', ' Glycerin', ' Dipalmitoylethyl hydroxyethylmonium methosulfate', ' Benzyl alcohol', ' Behenamidopropyl dimethylamine', ' Parfum [Fragrance]', ' Lactic acid', ' Benzoic acid', ' CI 60730 [Acid Violet 43]', ' Dehydroacetic acid', ' Hydroxycitronellal.*z rolnictwa ekologicznego']",ALKEMILLA K-HAIR Anti-Giallo Odżywka ochładzająca kolor do włosów blond i rozjaśnianych 200ml,E
4,"[' Aqua [Water] (Eau)', ' Stearyl alcohol', ' Behenamidopropyl dimethylamine', ' Dodecane', ' Myristyl myristate', ' Lactic acid', ' Linum usitatissimum (Linseed) seed extract (*)', ' Prunus amygdalus dulcis (Sweet almond) fruit extract (*)', ' Vanilla planifolia fruit extract', ' Avena sativa (Oat) kernel extract (*)', ' Panicum miliaceum (Millet) seed extract (*)', ' Helianthus annuus (Sunflower) seed extract (*)', ' Helianthus annuus (Sunflower) seed oil', ' Linseed acid', ' Ascorbyl palmitate', ' Tocopheryl acetate', ' Retinyl palmitate', ' Panthenol', ' Glycerin', ' Benzyl alcohol', ' Parfum [Fragrance]', ' Sodium benzoate', ' Sodium dehydroacetate', ' Hydroxycitronellal.  * z ekologicznych upraw']",ALKEMILLA K-HAIR Multiwitaminowa maska do włosów 200ml,E
5,"['\xa0Aqua [Water] (Eau)', ' Cetyl alcohol', ' Stearyl alcohol', ' Linum usitatissimum (Linseed) seed oil', ' Linum usitatissimum (Linseed) seed extract (*)', ' Prunus amygdalus dulcis (Sweet almond) fruit extract (*)', ' Cocos nucifera (Coconut) fruit extract (*)', ' Avena sativa (Oat) kernel extract (*)', ' Panicum miliaceum (Millet) seed extract (*)', ' Helianthus annuus (Sunflower) seed extract (*)', ' Hydrolyzed quinoa', ' Tocopherol', ' Glycerin', ' Dipalmitoylethyl hydroxyethylmonium methosulfate', ' Benzyl alcohol', ' Behenamidopropyl dimethylamine', ' Parfum [Fragrance]', ' Lactic acid', ' Benzoic acid', ' Dehydroacetic acid', ' Coumarin.* z kontrolowanych upraw ekologicznych']",ALKEMILLA K-HAIR Odżywka do włosów kręconych i falowanych 200ml,E
6,"['\xa0Aqua [Water] (Eau)', ' Cetyl alcohol', ' Stearyl alcohol', ' Helichrysum italicum flower extract (*)', ' Equisetum arvense leaf extract (*)', ' Coffea arabica (Coffee) seed extract (*)', ' Chamomilla recutita (Matricaria) flower extract (*)', ' Arctium lappa root extract (*)', ' Helianthus annuus (Sunflower) seed oil', ' Adansonia digitata seed extract', ' Cocos nucifera (Coconut) fruit extract (*)', ' Soy amino acids', ' Wheat amino acids', ' Serine', ' Threonine', ' Arginine HCl', ' Tocopherol', ' Glycerin', ' Dipalmitoylethyl hydroxyethylmonium methosulfate', ' Benzyl alcohol', ' Behenamidopropyl dimethylamine', ' Parfum [Fragrance]', ' Lactic acid', ' Benzoic acid', ' Dehydroacetic acid', ' Coumarin.* z kontrolowanych upraw ekologicznych']",ALKEMILLA K-HAIR Odżywka prostująca i zwiększająca blask włosów 200ml,E
7,"['\xa0Aqua [Water]', ' Cetyl alcohol', ' Behenamidopropyl dimethylamine', ' Vaccinium myrtillus (Myrtle) fruit extract (*)', ' Rubus idaeus', ' (Raspberry) fruit extract (*)', ' Butyrospermum parkii (Shea butter) butter', ' Prunus amygdalus dulcis (Sweet almond) oil (*)', ' Theobroma cacao (Cocoa) seed butter (*)', ' Chamomilla recutita (Matricaria) flower extract (*)', ' Citrus medica limonum (Lemon) peel extract (*)', ' Urtica dioica (Nettle) leaf extract (*)', ' Sodium lactate', ' Sodium PCA', ' Fructose', ' Glycine', ' Inositol', ' Niacinamide', ' Urea', ' Lactic acid', ' Benzyl alcohol', ' Parfum [Fragrance]', ' Sodium benzoate', ' Caprylic/capric triglyceride', ' Myristyl lactate', ' Sodium dehydroacetate', ' Glycerin', ' Sorbitol', ' Hexyl cinnamal', ' Xanthan gum', ' Hydroxyisohexyl 3-cyclohexene carboxaldehyde', ' Hydroxycitronellal.* z kontrolowanych upraw ekologicznych']",ALKEMILLA Maska do włosów zwiększająca połysk 200ml,E
8,"[' Aqua [Water] (Eau)', ' Cetyl alcohol', ' Stearyl alcohol', ' Pogostemon cablin leaf oil', ' Amyris balsamifera bark oil', ' Myrtus communis leaf extract (*)', ' Juniperus communis fruit extract (*)', ' Eucalyptus globulus leaf extract (*)', ' Crataegus monogyna fruit extract (*)', ' Tocopherol', ' Glycerin', ' Dipalmitoylethyl hydroxyethylmonium methosulfate', ' Parfum [Fragrance]', ' Behenamidopropyl dimethylamine', ' Benzyl alcohol', ' Lactic acid', ' Benzoic acid', ' Dehydroacetic acid', ' Linalool', ' Hexyl cinnamal.']",ALKEMILLA Odżywka do włosów i brody z olejkiem patchouli 250ml,E
9,"[' Aqua', ' Cetearyl Alcohol', ' Triticum Vulgare (Wheat) Germ Oil (olej z kiełków pszenicy)', ' Behentrimonium Chloride', ' Honey (miód)', ' Glycerin', ' Lanolin', ' Theobroma Cacao (Cocoa) Seed Butter (masło kakaowe)', ' Panthenol', ' Silicone Quaternium-22', ' Polyglyceryl-3 Caprate', ' Dipropylene Glycol', ' Cocamidopropyl Betaine', ' Phenoxyethanol', ' Benzoic Acid', ' Dehydroacetic Acid', ' Parfum', ' Coumarin', ' Limonene', ' Linalool', ' Cinnamyl Alcohol.']",ANWEN 'Kiełki pszenicy i Kakao' - Maska do włosów wysokoporowatych 200ml,E
