,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,$70K-$95K (Glassdoor est.),"Description

Position at Homes.com

Homes.com is looking for a Data Scientist in Norfolk, VA to join our team of IT professionals. You'll be working with our Business Intelligence Team to support and grow our premier real estate portal. You'll participate in technical research, developing models, data analysis, machine learning and be expected to bring your own ideas to the table to help keep us innovating.

Responsibilities:
Forecast site traffic for use in inventory calculations
Analyze and report on trends such as home valuations
Develop suggestion models
Help develop image classification models
Requirements:
BS or MS in computer science, data science, mathematics or other related field
2+ Years working as a Data Scientist
1+ Years Experience working with Time Series modeling
Experience working with Jupyter Notebooks
Experience working in R and Python
Experience providing Statistical Analysis
Nice to Haves:
Experience working in a cloud environment
Experience working with a relational database

About Homes.com

Homes.com offers today's demanding home buyers, renters and those somewhere in between a simply smarter home search. With features like Homes.com Match, HomeShare and Snap & Search, homeshoppers now have a more personalized way to search for their next home. Since its launch over 25 years ago, Homes.com offers real estate professionals brand and property advertising, search engine marketing and instant response lead generation to help them succeed online. For more information, visit Homes.com.

About DE

Dominion Enterprises (DE) is a leading digital marketing and software services company offering client solutions across multiple business verticals. Our customers rely on our B2B cloud SaaS solutions to establish their online and mobile brands, generate leads, and manage customer relationships through our Homes.com, Dominion Dealer Solutions, Dominion Business Solutions / DX1, Travel Media and Franchise and Business Opportunity divisions. Our B2C web and mobile applications include Homes.com, HotelCoupons.com, FranchiseOpportunities.com, FranchiseGator.com, Franchise.com, and BusinessBroker.net.
About 2,000 employees reside and work in our Norfolk, VA home office and in offices across the U.S. Our employees will tell you about our collaborative, innovative, team-oriented work environment, excellent career enrichment opportunities, community service opportunities, competitive earnings, and a comprehensive benefits package that includes a generous 401(k). DE is an equal opportunity employer and supports a diverse workforce. DE is a drug-testing employer.",4.1,"Homes.com
4.1","Norfolk, VA",-1,201 to 500 Employees,1998,Company - Private,Real Estate,Real Estate,$50 to $100 million (USD),-1
1,Data Scientist- Streetsboro Ohio Office,$70K-$95K (Glassdoor est.),"The Step2 Company is the largest American manufacturer of preschool and toddler toys and one of the world’s largest rotational molders of plastics. It’s our mission to be the leading innovator of children's products that build imaginations and enrich the family's celebration of childhood.

Step2 proudly employs moms, dads, grandparents, aunts, uncles and everyone in between. We offer an environment of fun and hard work. Our mission of bringing families together isn’t just for our customers. The Step2 family starts with our employees and we’re excited that you’re interested in joining our team!

PRIMARY FUNCTION: Reporting to the IT Director, and in close collaboration FP&A, the Data Scientist will support our product, sales, operations, and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

SPECIFIC DUTIES/ACCOUNTABILITIES:
Research and develop statistical learning models for data analysis
Keep up-to-date with latest technology trends
Communicate results and ideas to key decision makers
Implement new statistical or other mathematical methodologies as needed for specific models or analysis
Optimize joint development efforts through appropriate database use and project design
Functions as Oracle subject matter expert and ensures end users are properly trained to use system and reports appropriately; troubleshoots issues.
Serves as the System Administrator for the Daily Operating System (D.O.S.) Report and supporting network.
Ensures functionality and accuracy of reports which make up the D.O.S. report (i.e. Mold Placement Master, Mold Placement Report, Attendance Rosters).
Keeps D.O.S. supporting data updated (i.e. labor standards, NSP pricing, tooling information, goals, etc.)
Data mines and analyzes data from Oracle to provide user-friendly ad-hoc reports as request by various departments and upper level management.
Design and create a data repository to achieve the above objectives
BASIC QUALIFICATIONS:
5-7 years of experience manipulating data sets and building statistical models, a degree in Statistics, Mathematics, Computer Science or another quantitative field.
Experience working with and creating data architectures.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Adwords, Content Analytics, Facebook Insights, etc.


ADDITIONAL QUALIFICATIONS:
Excellent project management skills
Ability to explain complex issues clearly and succinctly
Effectively summarizes and communicates results
Ability to forecast potential problems and pitfalls
What are the perks?
· Parental Leave
· 401k with Employer Match
· Tuition Assistance
· Company Paid Life& Disability Insurance
· Adoption Assistance
· Medical, Dental and Vision
· Premium FREE Medical Plan
· Employee Discount
· 10 Paid Holidays
· Advancement Opportunities
Join our family!

Apply today or text Step2Jobs to 97211 to connect with a recruiter.

Step2 is an Equal Opportunity Employer



Step2 is an Equal Opportunity Employer",3.3,"Step2
3.3","Streetsboro, OH",-1,1001 to 5000 Employees,1991,Company - Private,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),-1
2,Semantic Data Modeler and Engineer,$70K-$95K (Glassdoor est.),"Semantic Data Modeler and Engineer

Tucson Embedded Systems, Inc. is seeking a semantic data modeler and engineer within the real-time embedded space, preferably with experience in creating semantic data models within the defense and aerospace industry (i.e., for mission systems). This position is for work on existing and future government and industry contracts. We are seeking an individual with the following skills:

• The ability to perform semantic/conceptual data modeling, or entity-relationship modeling for varying subject matters (domains) within a competitive and pragmatic environment

• Creation and integration of new and existing conceptual/semantic models into existing domain-specific data models, existing non-semantic models, and improperly-factored models

• Refactoring of improperly factored data models into semantically-consistent and separate domain models

• Understanding and experience in mapping of elements between semantically-similar and -different subject matters

• Realization of conceptual semantic data models into varying designs and implementations, through subsequent model decomposition and code generation

• Creation and modification of system and/or software lifecycle artifacts through the understanding and use of configuration management, revision control, and problem tracking

• Development of function, system, and unit-level model-based test procedures

• Familiarity and experience in implementation languages, debugging, debuggers, and system and software tools in support of these activities

• Demonstrable ability to effectively communicate and express complex concepts and thoughts through modeling, writing, and oral presentation of materials and artifacts

• Ability to work collaboratively in a team environment and when required, to implement tasks as directed from technical leadership

Required:

• 2-5 years of demonstrable experience conceptual and semantic data modeling using formal modeling tools, or equivalent processes and specification with similar level(s) of detail

• Have or be eligible for a United States security clearance

• Bachelor degree in a technical engineering discipline, or equivalent engineering work experience with Bachelor degree in a non-technical but field related to this position

Ideal:

• Knowledge and experience in conceptual semantic data modeling using the FACE™ Data Architecture

• Familiarity with D0-178B/C, DO 331&332, AC 20-148, AR 70-62 guidance and the Future Airborne Capability Environment (FACE) technical standards.

• Experience modeling navigation, communications, surveillance, and aircraft survivability equipment in a network-centric environment

Job Type: Full-time

Locations: Huntsville, AL

www.TucsonEmbedded.com

Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Flexible Spending Account
Health Insurance
Life Insurance
Referral Program
Tuition Reimbursement
Vision Insurance
Schedule:
Monday to Friday
Education:
Bachelor's (Required)
Location:
Alabama (Required)
Security Clearance Required:
Confidential (Required)
Work Location:
One location
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
Detail-oriented -- would rather focus on the details of work than the bigger picture
High stress tolerance -- thrives in a high-pressure environment
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Outcome-oriented -- results-focused with strong performance culture
Team-oriented -- cooperative and collaborative
Company's website:
https://TucsonEmbedded.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",2.8,"Tucson Embedded Systems, Inc.
2.8",Alabama,-1,51 to 200 Employees,1997,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1
3,Digital Pathology Scientist,$70K-$95K (Glassdoor est.),"Digital Pathology Scientist *
Description*
Mosaic Laboratories is looking for a full-time Digital Pathology Scientist. Mosaic Laboratories is a leading provider of pre-clinical and clinical trial laboratory services to pharmaceutical and biotechnology companies. This position will have significant interaction with Mosaic’s senior leadership and plays a key role driving financial reporting.
Job Responsibilities*
· Expertise in IHC, ISH, and digital pathology

· Design image analysis algorithms using Indica HALO or Aperio ImageScope

· Design image analysis algorithms using Akoya InForm to analyze multispectral images

· Design image analysis algorithms using Visiopharm or other commercial platforms

· Evaluate on-line image management systems and other software to support image analysis and hosting

· Work with pathologists to support them on image analysis projects

· Supervise a team of scanning assistants

· Run algorithms and export data and perform calculations in Excel

· Manually count positive and negative cells to validate image analysis algorithms

· Lead on-line presentations and calls to discuss image analysis algorithms with clients

· Keep detailed records of image analysis algorithm development and details about algorithms

· Contribute to SOPs, validation plans and study reports
Qualifications*
· MS or PhD in a related science

· 5+ years of experience in laboratory histology, IHC, and image analysis techniques

· Expertise in IHC and ISH with the ability to identify cancer, immune cells and normal cell types

· A strong working knowledge of immunophenotyping and other diagnostic biomarkers

· Expertise in designing image analysis algorithms using Indica HALO and Akoya InForm

· Experience with Visiopharm or other commercial platforms is beneficial, but not required

· Prior experience working with immuno-oncology

· Prior supervisor experience preferred

· A solid working knowledge of clinical pathology laboratory workflow

· Demonstrated experience in complex problem solving

· Organized, professional, detail oriented, and accurate documentation skills

· Ability to communicate through writing and oral presentation

This is a full-time, Monday-Friday, on-site, daytime position. The position requires that work be completed in our facility in Lake Forest, CA.

Mosaic Laboratories is an Equal Opportunity Employer. This company does not and will not discriminate in employment and personnel practices on the basis of race, sex, age, handicap, religion, national origin or any other basis prohibited by applicable law.

Job Type: Full-time

Pay: $30.00 - $37.00 per hour

Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
COVID-19 considerations:
COVID-19 policies are posted on our website.

Experience:
Akoya Inform Image Analysis: 2 years (Required)
IHC, ISH, and digital pathology: 5 years (Preferred)
Indica Halo or Visiopharm Image Analysis: 4 years (Preferred)
Presentation: 1 year (Preferred)
Supervisor: 2 years (Required)
Immuno-oncology or immunology: 5 years (Required)
Education:
Master's (Preferred)
Location:
Lake Forest, CA 92630 (Required)
Language:
English (Required)
Work authorization:
United States (Required)
Work Remotely:
No",3.5,"Mosaic Laboratories
3.5","Lake Forest, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),-1
4,Certified Lab Scientist or Certified Lab Tech,$70K-$95K (Glassdoor est.),"Prairie Ridge Health is looking for a team member to join or Lab Department in the role of Certified Lab Scientist or Certified Lab Tech. This position is PRN (as needed) and will be responsible for performing general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability...….

POSITION SUMMARY
Lab Scientist

The Medical Technologist performs general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability. The data obtained is used in the diagnosis and treatment of disease involving patient of all ages. The Medical Technologist develops and maintains test procedures and protocols, and troubleshoots both technology and sample related problems. (S)he exercises independent judgment and responsibility with minimal supervision. May supervise others in the absence of the Laboratory Supervisor. Makes decisions about the accuracy of test results, instrument operation, specimen suitability, and uses sound clinical judgment in setting the priority of tests/patients

OR

Lab Tech

The Clinical Laboratory Technician I performs general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability. The data obtained is used in the diagnosis and treatment of disease involving patient of all ages. The Clinical Laboratory Technician II develops and maintains test procedures and protocols, and troubleshoots both technology and sample related problems. (S)he exercises independent judgment and responsibility with minimal supervision. Makes decisions about the accuracy of test results, instrument operation, specimen suitability, and uses sound clinical judgment in setting the priority of tests/patients.

EDUCATION REQUIREMENTS/LICENSURE/CERTIFICATION/REGISTRATION

Lab Scientist

Bachelors’ degree in Medical Technology and graduate of an accredited Medical Technology Program.
Registered or eligible as a Medical Technologist (MT) or Clinical Laboratory Scientist (CLS) with a national accrediting agency (ASCP) or qualified as a MT/CLS having passed the Federal Equivalence Exam (HEW)
Meets the CLIA 88 requirements for individuals performing highly complex testing
CPR certification

OR

Lab Tech

Associate degree and completion of a 2 year CLT / Medical Laboratory Technician (MLT) training program.
Registered or eligible as a Clinical Laboratory Technician or Medical Laboratory Technician (MLT) with a national accrediting agency (ASCP).
Meets the CLIA 88 requirements for individuals performing highly complex testing.
A minimum of 1 year experience in a clinical laboratory performing highly complex testing is desired or a recent new graduate of an accredited school.
CPR certification

FTE: PRN (as needed)

Shift: As Needed

Powered by JazzHR

Ly3sHi576B",2.0,"Prairie Ridge Health
2.0","Columbus, WI",-1,51 to 200 Employees,-1,Hospital,-1,-1,Less than $1 million (USD),-1
5,Manufacturing Scientist,$70K-$95K (Glassdoor est.),"Biomerica Corporation focusing on the research, development and manufacturing of immunoassay test products is looking to identify and hire a Manufacturing Scientist to lead Contract manufacturing project and production and process improvement . As a key member of the Manufacturing Team, the Manufacturing Scientist will report to Director of Manufacturing and be responsible for, but not limited to the following
Carry out production tasks in support of manufacturing goals and objectives
Lead and carry out contract manufacturing project.
Purify recombinant proteins using column chromatography system.
Perform antibody biotinylation and HRP conjugation
Perform Lyophilization for biological compounds
Compound complex ELISA reagents and perform ELISA assay
Lead and conduct NCMR or CAPA investigation for manufacturing processes.
Write validation protocol and execute process and equipment validation
Maintain records and notebooks in a neat, thorough and accurate manner. Perform required data entry on company planning and materials management system.
Initiate or update manufacturing document and procedures as needed.
Operate moderately complex laboratory equipment and perform routine equipment calibrations and maintenance.
Follow all safety guidelines, manufacturing policies and procedures. Operate under strict QSR and ISO compliance.
Provide guidance and training to Production Associate.
Other duties as assigned, according to the changing needs of the business
Job Requirements: *
BS or MS degree in Chemistry or Biochemistry with minimum 5 years work experience, or Ph.D degree with minimum 2 years experience in related field, basic computer skills (Word, Excel).
A self-motivated individual with prior in experience and hands on skills in the following areas: protein purification; antibody conjugate; lyophilization and ELISA assay
Job Type: Full-time

Experience:
relevant: 2 years (Preferred)",2.5,"Biomerica
2.5","Irvine, CA",-1,1 to 50 Employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),-1
6,Research Scientist - Lactic Solutions,$70K-$95K (Glassdoor est.),"The *Research Scientist - Lactic Solutions *will be part of a technical team involved in genetic engineering of lactic acid bacteria (LAB) for the production of fuels. This position will report directly to the *Senior Director of Lactic Solutions R&D at Mascoma*. The key activities for this position include metabolic engineering, heterologous protein expression, classical genetics, directed evolution, and development of strain screens and selections for specific applications of LAB. Specific responsibilities include:

· Using advanced molecular biology techniques to engineer lactic acid bacteria (LAB), analyze associated genotypes and phenotypes, and provide documentation of the process and results

· Training less experienced microbiologists and research associates to perform various procedures, particularly as they become routine analyses for the Bacterial Solutions Team.

· Developing and validating new methodology to answer technical questions as they arise.

· Participating in multi-disciplinarily projects and interacting with molecular biologists, bioprocess scientists, process engineers and protein scientists, to deliver high quality, timely data to help solve complex problems.

· Independently overseeing the design, implementation, collection, analysis and reporting of experiments.

· Authoring and reviewing reports, invention disclosures and patents relevant to our products.

· Presenting results to scientific and business audiences

· Authoring and reviewing SOPs for lab procedures and instruments as needed.

· Providing backup to other members of the Lactic Solutions Team.

The candidate will perform these duties in support of company goals and priorities in conjunction with the project leader and other team members, and will assist in solving difficult problems with insight, creativity, and skill.
Minimum Qualifications: *
· Ph.D. or M.S./B.S. with 3+ years of experience in molecular biology, microbiology, genetics, or biochemistry; internal candidates should currently be at RA-III level or higher.

· Ability to oversee Research Associates to meet corporate goals.

· Candidate should have good troubleshooting and multi-tasking skills to deal with technical problems.

· Ability to work on multiple and simultaneous projects as part of a team in a fast-paced industrial R&D setting.

· Have demonstrable experience in providing high quality, timely data while being able to prioritize new requests.

· Good written and oral communication skills

· Demonstrated ability to meet timelines
Preferred in an ideal candidate: *
· Strong core competency in molecular biology, with hands-on experience in the area of bacteria or yeast research. He/she will have work experience with techniques such as metabolic engineering and heterologous protein expression.

· Familiar with the analysis of metabolic flux and microbial physiology.

· Experience with modeling and conducting ethanol fermentations.

· Familiarity with biochemistry, enzyme assays.

· Familiarity with experimental design and statistics.

Have varied educational or industry lab experiences, enabling the development of new approaches to difficult problems.

Job Type: Full-time

Benefits:
401(k) Matching
Dental Insurance
Disability Insurance
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Professional Development Assistance
Relocation Assistance
Vision Insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus Pay
COVID-19 considerations:
Mascoma has established several practices to protect our employees from COVID-19. These include installation of plexiglass shields around work desks, daily fever check, social distancing, mask use, and regular hand washing.

Education:
Doctorate (Preferred)
This Job Is Ideal for Someone Who Is:
People-oriented -- enjoys interacting with people and working on group projects
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Innovative -- prefers working in unconventional ways or on tasks that require creativity
Company's website:
Lallemand.com
Company's Facebook page:
https://www.facebook.com/lallemandinc
Work Remotely:
No",3.4,"Lallemand
3.4","Lebanon, NH",-1,1001 to 5000 Employees,1895,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
7,R&D Scientist,$70K-$95K (Glassdoor est.),"Our Research and Development department is on the forefront of product development and innovation. It is easy to be dedicated when you’re a part of something much bigger than yourself. We’ve got an insatiable appetite for making a difference. The ideal R&D Dairy and/or Dairy Alternative Scientist candidate will have an integral role in leading the product development of our next wave product innovations, while also lending technical support to our growing base business. We are looking for a candidate with a strong food science foundation, and a demonstrated expertise in product innovation, to help Chobani advance its’ mission of making healthy and delicious plant-based foods.

The responsibilities of this position include:
Execute research and development plans and strategies for product development in support of company objectives
Design and execute experiments based on project objectives, excellent record keeping, data collection and analysis and preparing project summaries
Plan and carry out development work in lab and pilot scale; design, develop, and lead tests to qualify new products and to support changes to existing products
Conduct analytical measurements like, pH, viscosity, density, able to design and execute shelf life studies, brix, total solids etc.
Manage technical development projects focusing on product development, process, and product care to help Chobani improve and launch more innovative food and beverage products
Lead and document development projects all the way from conceptualization to commercialization – this includes budget and target within certain time constraints
Communicate project requirements and recommendations as well as status to internal customers and external stake holders
Lead, assist, and work directly with plant processing and production personnel to ensure trial runs and start-up operations are properly performed
The requirements of this position include:
Minimum B.S. Food Science or related degree. Advanced degree strongly preferred
2-7 years of food industry experience required, dairy and/or non-dairy is preferred
Extensive ingredient (stabilizers & fortification), flavor development, and product stability knowledge
Background in process and product development and commercialization of food processes is required. Dairy or Dairy Alternative processing would be a big bonus. Proven track record of leading product development projects including timeline development / management, testing / trials, operational launch and scale
Familiarity with basic research tools and statistical analysis
Comfortable with ambiguity and are energized by the process of building something from the ground up
Innate curiosity for understanding complex food systems from a physical and chemical perspective
Maintain clean & safe manufacturing environment within all facilities
Excellent written and verbal communication
Must be a self-starter able to work in a fast-paced environment and handle multiple projects/tasks at any given time
Willingness to travel (10-20%)
About Us:

Since our founding over 10 years ago, we’ve always been a different kind of company. After moving to New York from his native Turkey, our CEO Hamdi Ulukaya found that in America, yogurt just wasn’t as delicious or widely available as it was back home. He thought everyone deserved better options, so he set about making delicious, nutritious, natural, and accessible Greek Yogurt right here in the U.S.

Our mission since day one has been to provide better food to more people. And now as the No. 1-selling Greek Yogurt brand in America that is expanding beyond yogurt, we believe every food maker has a responsibility to provide people with better options, which is why we’re so proud of the way our food is made.

Our food philosophy of crafting quality products with simple ingredients is what sets Chobani apart. Our belief that business done right has the ability to change lives and strengthen communities is what sets our company apart. From the way we source our ingredients to how we treat our employees, Chobani strives to make universal wellness happen sooner with everything we do. Certified as a Great Place to Work®, our culture is built on shared passion, dedication, and a commitment to doing what is right. Together, the Chobani family has created something unlike what any company has done before. The possibilities are endless.

Chobani is an equal opportunity employer. Chobani will not discriminate against any applicant for employment on any basis including, but not limited to: race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, military and/or veteran status, marital status, predisposing genetic characteristics and genetic information, or any other classification protected by federal, state and local laws.",4.3,"Chobani
4.3","Twin Falls, ID",-1,1001 to 5000 Employees,2005,Company - Private,Food & Beverage Manufacturing,Manufacturing,$1 to $2 billion (USD),-1
8,Research Scientist - Plant Transformation,$70K-$95K (Glassdoor est.),"Living Carbon is a pre-launch public benefit corporation with a mission to fight climate change by enhancing CO2 capture and storage in trees. We believe that gigaton scale CO2 drawdown will only happen if solutions are both environmentally beneficial and profitable to landowners. We’re working with some of the largest timber companies in the US and well-known reforestation projects to develop a proof of concept. We’re backed by some of the most prominent investors in Silicon Valley including, YCombinator, Sam Altman, and Chris Sacca of LowerCarbon Capital.

If you believe that climate change is the defining global emergency of the century and want to join an ambitious project that’s working on a biological solution, we’d love to hear from you.
Your role: *
We’re looking for someone who’s excited to be part of a mission-driven early stage company. As our Plant Transformation Research Scientist, you’ll play an essential role in developing innovative tree tissue culture and transformation methodologies. A successful candidate will have experience with agriculture biotechnology with focuses on plant tissue culture and transformation technologies. You’ll also have the opportunity to contribute to the company’s strategic goals and think creatively about how to move quickly and solve problems.
Responsibilities: *
Design and carry out plant tissue culture and transformation projects
Conduct literature survey, implement/develop advanced tree transformation protocols
Establish standard work flows and author assay protocols, SOPs, work instructions and other documents as needed
Collaborate closely with other biologists while also independently performing all duties in the laboratory required for individual project
Keep a detailed record of experimental data. Summarize project progress in written reports and present during team meetings.
May train and oversee the work of lab technicians, providing ongoing coaching, guidance and feedback to ensure technicians are successful in their work, as well as have the necessary and timely access to information and other resources.
Contribute to development of project plans and long-range goals of the team
Regular and clear communication of research progress and results to leadership.
Use creative and problem solving skills to overcome issues or problems that may arise when following a protocol.
Required Skills & Experience*
Previous experience with wood species and/or crop plant agrobacterium-mediated transformation, biolistics/particle bombardment plant transformation
Previous experience with syringe infiltration and/or vacuum infiltration transient transformation
Comfortable working independently in a fast paced environment
MS with typically 2+ years of relevant experience or Ph.D. in Plant Biology or related fields with 0-3 years of experience
Demonstrated ability to plan experiments, analyze data sets, interpret results, trouble-shoot experiments, prepare reports, and present results
Creative in the design, performance and interpretation of experiments with strong problem-solving skills using a hypothesis-based approach
Experience with sterile plant tissue culture; prepare tissue culture media; and controlled environment/greenhouse experience with a proven track record of success and hands-on experience in plant transformation
Are organized, detail-oriented, methodical, thorough and can handle multiple tasks at once
Possess excellent written and verbal communication skills.
Previous work in a technology startup, biological science startup or other life sciences industry organization
Previous experience optimizing transformation protocols and and troubleshooting problems
Preferred experience with building out an efficient transformation pipeline for commercial events
Familiar with systems for data tracking such as LIMS
Living Carbon PBC offers competitive compensation, and generous healthcare, dental and vision insurance.

_Living Carbon PBC is an equal opportunity employer. _

_We believe the best solutions to climate change are created by diverse teams. Living Carbon is focused on building a multicultural and inclusive team with strong representation from the many diverse communities disproportionately impacted by climate change. As a public benefit corporation, ensuring solutions to slow climate change are widely distributed to all peoples is critical to the success of our mission. _

Job Type: Full-time

Benefits:
Dental insurance
Flexible schedule
Health insurance
Paid time off
Parental leave
Relocation assistance
Vision insurance
Schedule:
Monday to Friday
Work authorization:
United States (Required)
Work Remotely:
No",3.9,"Living Carbon
3.9","San Francisco, CA",-1,1 to 50 Employees,-1,Other Organization,-1,-1,Less than $1 million (USD),-1
9,HCM Data Analyst,$70K-$95K (Glassdoor est.),"Any qualified individual with a disability who is having difficulty in completing an application because of incompatible technology or other disability-related application issues may contact us at the following phone number for assistance: 251-445-1932.

Austal shall abide by the requirements of 41 CFR §§ 60-1.4(a), 60-300.5(a) and 60-741.5(a). These regulations prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, religion, sex, sexual orientation, gender identity, or national origin. Moreover, these regulations require that covered prime contractors and subcontractors take affirmative action to employ and advance in employment individuals without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status or disability. Austal’s commitment to equal employment opportunity applies at all levels of employment, in all job titles, including the executive level, and to all employment actions, including but not limited to decisions concerning recruitment, hiring, training, and promotion.

REPORTS TO: HCM Coordinator

SUPERVISES: N/A

AUTHORITIES / RESPONSIBILITIES:

The HCM data analyst plays a crucial role in collecting, structuring, analyzing, and reporting on HR processes and data. Supports business with key HR insights reporting (manning levels, hires; retention, turnover), talent metrics (promotion reporting; learning and development tracking; performance management insights), benefits reporting (billing invoices, participation census) as well as ad hoc reporting and data analysis as needed.

Job Description

Utilizes Workday systems and analytical tools to develop, analyze and interpret HR workforce data.
Partners with stakeholders across business units to build and implement reporting and analytic solutions that provide leaders with information necessary to achieve business goals and objectives.
Develop and maintain standardized dashboards and other related metrics reports for organization-wide and HR department evaluation.
Maintains common HR data repository
Monitors effectiveness of reporting and analytics products to ensure optimal value to the business, modifying or operationalizing new metrics and dashboard products as needed.
Creates scheduled reports and respond to ad-hoc queries from senior management and other areas of the company.
Leverages data extraction tools and approaches to perform complex data analysis and formulate new meaningful insights.
Reviews new reporting requests to be sure the request is consistent with HR systems and data strategies.
Creates, maintains, and ensures quality assurance of human resources data sets, reports, and metrics.
Recommends process and system improvements, follow up on recommendations.
Assist in the identification of data integrity problems and recommend solutions.
Other special projects, as needed.
Other duties as assigned;

QUALIFICATIONS / KNOWLEDGE / EXPERIENCE:

Bachelors degree or equivalent.
3-5 Business Analyst experience documenting Business Requirements and conducting data analysis.
Workday experience preferred in one or more modules: HCM, Benefits, Talent/Performance, Security, or Advanced Compensation.
Strong written and verbal communication skills to effectively communicate processes and procedures with managers and employees.
Highly developed ability to provide clear, concise verbal and written explanations for complex concepts so that others see the value add in recommendations and solutions.
Strong computer proficiency and technical aptitude to utilize MSOffice. Expert-level proficiency in Microsoft Excel (PowerPoint a plus).
Strong process orientation, analytical and problem-solving skills
Excellent service orientation skill set, ability to build strong relationships with fellow HR team members.
Must work with a sense of urgency and have the ability to handle confidential information in a professional manner. Can handle demands from multiple customers and has the ability to prioritize.
Ability to work collaboratively with multiple teams/organizations with attention to detail and strong organizational skills.
Flexible and has the capability to deliver results in a fast-paced, and high volume environment.

TOOLS: Not applicable

DIRECTION EXERCISED: Works within established guidelines. Works autonomously and escalates issues to HCM Coordinator as appropriate.

DISCRETION EXERCISED: A degree of creativity and latitude is expected. Relies on experience and judgment to plan and accomplish goals.

LIAISES WITH:

Employees, Department Managers, HR / Benefit Staff, Finance staff and external consultants as assigned.

ADDITIONAL GUIDELINES:

The ability to obtain and maintain a DoD clearance may be required if deemed necessary in the scope of your position responsibilities.
Candidates must meet the following employment eligibility guidelines to be eligible for employment with Austal USA:
18 years or older at time of application
Able to provide proof of US Person status (permanent resident or citizen)
No felony convictions of theft/deception or violent crimes within seven years from disposition date
No felony convictions of drug crimes within three years from disposition date
Willing to submit to a drug screen
Willing to submit to a background check",3.2,"Austal USA
3.2","Mobile, AL",-1,1001 to 5000 Employees,1988,Company - Public,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),-1
